Date,Location,MaxTemp,MinTemp,Humidity,Rainfall,WindSpeed,Condition
2025-01-01,Delhi,22,10,65,0.0,12,Sunny
2025-01-02,Delhi,20,9,70,2.5,15,Rainy
2025-01-03,Delhi,18,7,80,5.1,20,Rainy
2025-01-04,Delhi,21,8,60,0.0,10,Sunny
2025-01-05,Delhi,19,6,75,1.2,18,Cloudy
2025-02-01,Delhi,24,12,55,0.0,11,Sunny
2025-02-02,Delhi,26,14,50,0.0,14,Sunny
2025-02-03,Delhi,25,13,58,0.5,13,Cloudy
2025-02-04,Delhi,23,11,68,3.0,17,Rainy
2025-02-05,Delhi,22,10,72,4.2,19,Rainy
2025-03-01,Delhi,29,17,48,0.0,9,Sunny
2025-03-02,Delhi,31,19,42,0.0,8,Sunny
2025-03-03,Delhi,30,18,45,0.0,10,Sunny
2025-03-04,Delhi,28,17,55,1.0,14,Cloudy
2025-03-05,Delhi,27,16,60,2.8,16,Rainy
2025-04-01,Delhi,35,22,38,0.0,11,Sunny
2025-04-02,Delhi,36,23,35,0.0,12,Sunny
2025-04-03,Delhi,34,21,40,0.0,10,Sunny
2025-04-04,Delhi,33,20,45,0.8,15,Cloudy
2025-04-05,Delhi,32,19,50,3.5,18,Rainy
2025-05-01,Delhi,39,27,32,0.0,13,Sunny
2025-05-02,Delhi,40,28,30,0.0,14,Sunny
2025-05-03,Delhi,41,29,28,0.0,16,Sunny
2025-05-04,Delhi,38,26,35,1.5,20,Cloudy
2025-05-05,Delhi,37,25,42,4.8,22,Rainy
2025-06-01,Delhi,36,27,60,12.0,18,Rainy
2025-06-02,Delhi,34,26,68,18.5,20,Rainy
2025-06-03,Delhi,33,25,72,25.0,21,Rainy
2025-06-04,Delhi,35,26,65,8.2,17,Cloudy
2025-06-05,Delhi,36,27,58,0.0,15,Sunny
